timestamp,ticket,symbol,direction,danger_score,should_exit,candles_open,current_pnl,signals
2026-04-30T15:10:00.114426,1001,EURUSD,BUY,2.00,False,10,0.00100,Engulf_Bear(+2.0)
2026-04-30T15:10:00.118875,1001,EURUSD,BUY,5.00,True,10,0.00100,Engulf_Bear(+2.0) + RSI_BearDiv(+3.0)
2026-04-30T15:10:00.123714,1004,EURUSD,SELL,4.50,True,10,0.00150,Engulf_Bull(+2.0) + MorningStar(+2.5)
2026-04-30T15:10:00.127684,1001,EURUSD,BUY,2.40,False,10,0.00100,Engulf_Bear(+2.0) + vol_squeeze_amplify(x1.2)
2026-04-30T15:10:00.130358,1001,EURUSD,BUY,12.00,True,10,0.00100,Engulf_Bear(+2.0) + EveningStar(+2.5) + RSI_BearDiv(+3.0) + HS_Flag(+2.5) + DoubleTop_Flag(+2.0)
2026-04-30T20:50:10.108643,1001,EURUSD,BUY,2.00,False,10,0.00100,Engulf_Bear(+2.0)
2026-04-30T20:50:10.121894,1001,EURUSD,BUY,5.00,True,10,0.00100,Engulf_Bear(+2.0) + RSI_BearDiv(+3.0)
2026-04-30T20:50:10.148608,1004,EURUSD,SELL,4.50,True,10,0.00150,Engulf_Bull(+2.0) + MorningStar(+2.5)
2026-04-30T20:50:10.178879,1001,EURUSD,BUY,2.40,False,10,0.00100,Engulf_Bear(+2.0) + vol_squeeze_amplify(x1.2)
2026-04-30T20:50:10.196183,1001,EURUSD,BUY,12.00,True,10,0.00100,Engulf_Bear(+2.0) + EveningStar(+2.5) + RSI_BearDiv(+3.0) + HS_Flag(+2.5) + DoubleTop_Flag(+2.0)
2026-04-30T21:09:29.894420,1001,EURUSD,BUY,2.00,False,10,0.00100,Engulf_Bear(+2.0)
2026-04-30T21:09:29.900135,1001,EURUSD,BUY,5.00,True,10,0.00100,Engulf_Bear(+2.0) + RSI_BearDiv(+3.0)
2026-04-30T21:09:29.914107,1004,EURUSD,SELL,4.50,True,10,0.00150,Engulf_Bull(+2.0) + MorningStar(+2.5)
2026-04-30T21:09:29.924387,1001,EURUSD,BUY,2.40,False,10,0.00100,Engulf_Bear(+2.0) + vol_squeeze_amplify(x1.2)
2026-04-30T21:09:29.930947,1001,EURUSD,BUY,12.00,True,10,0.00100,Engulf_Bear(+2.0) + EveningStar(+2.5) + RSI_BearDiv(+3.0) + HS_Flag(+2.5) + DoubleTop_Flag(+2.0)
2026-04-30T22:24:47.339778,1001,EURUSD,BUY,2.00,False,10,0.00100,Engulf_Bear(+2.0)
2026-04-30T22:24:47.344631,1001,EURUSD,BUY,5.00,True,10,0.00100,Engulf_Bear(+2.0) + RSI_BearDiv(+3.0)
2026-04-30T22:24:47.345674,1004,EURUSD,SELL,4.50,True,10,0.00150,Engulf_Bull(+2.0) + MorningStar(+2.5)
2026-04-30T22:24:47.353736,1001,EURUSD,BUY,2.40,False,10,0.00100,Engulf_Bear(+2.0) + vol_squeeze_amplify(x1.2)
2026-04-30T22:24:47.354278,1001,EURUSD,BUY,12.00,True,10,0.00100,Engulf_Bear(+2.0) + EveningStar(+2.5) + RSI_BearDiv(+3.0) + HS_Flag(+2.5) + DoubleTop_Flag(+2.0)
2026-04-30T22:26:48.507928,1001,EURUSD,BUY,2.00,False,10,0.00100,Engulf_Bear(+2.0)
2026-04-30T22:26:48.507928,1001,EURUSD,BUY,5.00,True,10,0.00100,Engulf_Bear(+2.0) + RSI_BearDiv(+3.0)
2026-04-30T22:26:48.516139,1004,EURUSD,SELL,4.50,True,10,0.00150,Engulf_Bull(+2.0) + MorningStar(+2.5)
2026-04-30T22:26:48.520407,1001,EURUSD,BUY,2.40,False,10,0.00100,Engulf_Bear(+2.0) + vol_squeeze_amplify(x1.2)
2026-04-30T22:26:48.523658,1001,EURUSD,BUY,12.00,True,10,0.00100,Engulf_Bear(+2.0) + EveningStar(+2.5) + RSI_BearDiv(+3.0) + HS_Flag(+2.5) + DoubleTop_Flag(+2.0)
